
Câu gốc,Câu chuẩn hóa
"klq ai bt chỗ mua đth ms ko chỉ","không liên quan ai biết chỗ mua điện thoại mới không chỉ"
"nyc bả đag lmj z ae bít chx kể","người yêu cũ bạn ấy đang làm gì vậy anh em biết chưa kể"
"cđm nói j kệ ngta đi m bùn lmj m","cộng đồng mạng nói gì kệ người ta đi mày buồn làm gì mày"
"tks ck iu hwa mua quà cho e dth","cảm ơn chồng yêu hôm qua mua quà cho em dễ thương"
"sr ce hnay t đg bùn ko đi đc nha","xin lỗi chị em hôm nay tao đang buồn không đi được nha"
"nym bả nhìn hiền vs dth qtqd lun á","người yêu mới bạn ấy nhìn hiền với dễ thương quá trời quá đất luôn á"
"kb xl rồi chx thấy ổng ib t m ơi","kết bạn Zalo rồi chưa thấy ông ấy nhắn tin tao mày ơi"
"cv m cx bthg mà s m than lém z","công việc mày cũng bình thường mà sao mày than lắm vậy"
"gđ ổng hnay đi BV thăm ổng đk m","gia đình ông ấy hôm nay đi bệnh viện thăm ông ấy đúng không mày"
"klq t thik stt bả ms up ghê dth","không liên quan tao thích trạng thái bạn ấy mới lên ghê dễ thương"
"nyc ổng scam cno hqua r ae ơi cẩn thận","người yêu cũ ông ấy lừa gạt chúng nó hôm qua rồi anh em ơi cẩn thận"
"cđm đg otp ổng vs bả real wa chừng","cộng đồng mạng đang ghép cặp ông ấy với bạn ấy thật quá chừng"
"tks m đg bùn đc an ủi r nha ní","cảm ơn mày đang buồn được an ủi rồi nha bạn"
"sr m nay t ns sai fact bả r nha","xin lỗi mày nay tao nói sai sự thật bạn ấy rồi nha"
"nym t fl bả trên ig đó m bít chx","người yêu mới tao theo dõi bạn ấy trên Instagram đó mày biết chưa"
"kb cno zô group lẹ ae chém gió xíu","kết bạn chúng nó vô group lẹ anh em chém gió xíu"
"cv hnay ntn r ổn ko ae tui ơi","công việc hôm nay như thế nào rồi ổn không anh em tui ơi"
"gđ lms thế m ns t nghe vs m ơi","gia đình làm sao thế mày nói tao nghe với mày ơi"
"klq nha tk kia depzai wa ae ạ t đổ","không liên quan nha thằng kia đẹp trai quá anh em ạ tao đổ"
"nyc bả ms ctay r đg khok bùn lém","người yêu cũ bạn ấy mới chia tay rồi đang khóc buồn lắm"
"cđm chửi j bả z m t chx bít tin","cộng đồng mạng chửi gì bạn ấy vậy mày tao chưa biết tin"
"tks t lẹ đi hqua t giúp m đk m","cảm ơn tao lẹ đi hôm qua tao giúp mày đúng không mày"
"sr bả đi ae hqua bả khok r đó nha","xin lỗi bạn ấy đi anh em hôm qua bạn ấy khóc rồi đó nha"
"nym bả zui vẻ lém m ksao đâu đừng lo","người yêu mới bạn ấy vui vẻ lắm mày không sao đâu đừng lo"
"kb ig đi t fl lại cho m nha m mặn","kết bạn Instagram đi tao theo dõi lại cho mày nha mày mặn"
"cv sml mệt qtqd h chx zề đc luôn","công việc sấp mặt mệt quá trời quá đất giờ chưa về được luôn"
"gđ qtr m phải nc đàng hoàng zô nha","gia đình quan trọng mày phải nói chuyện đàng hoàng vô nha"
"klq t đg bùn ngủ lém h ms lmj đc nè","không liên quan tao đang buồn ngủ lắm giờ mới làm gì được này"
"nyc m nt t hwa ns lmj vs m z","người yêu cũ mày nhắn tin tao hôm qua nói làm gì với mày vậy"
"cđm soi lém bả up j cx bị lói m ạ","cộng đồng mạng soi lắm bạn ấy lên gì cũng bị nói mày ạ"
"tks a hnay m đg mệt đc wà nha ck","cảm ơn anh hôm nay mày đang mệt được quà nha chồng"
"sr e ck hnay bận cv wa nha e iu","xin lỗi em chồng hôm nay bận công việc quá nha em yêu"
"nym m bthg mà đzai j đâu ta t chê","người yêu mới mày bình thường mà đẹp trai gì đâu ta tao chê"
"kb fb ms ròi acp m lẹ đi ae ơii","kết bạn facebook mới rồi đồng ý mày lẹ đi anh em ơii"
"cv bận rộn tgian đâu đi cf z m","công việc bận rộn thời gian đâu đi cf vậy mày"
"gđ m hnay cs đi mxh ko bả lói j z","gia đình mày hôm nay có đi mạng xã hội không bạn ấy nói gì vậy"
"tks ae đg bùn đc an ủi r nha mng","cảm ơn anh em đang buồn được an ủi rồi nha mọi người"
"kb ig đi ae t fl chéo cho m nha ní","kết bạn Instagram đi anh em tao theo dõi chéo cho mày nha bạn"
"sr cj nay e onl lẹ đc ko e đg bận","xin lỗi chị nay em trực tuyến lẹ được không em đang bận"
"cv sml mệt qtqd h chx zề đc cj ơi","công việc sấp mặt mệt quá trời quá đất giờ chưa về được chị ơi"
"m lms z ae đg đợi m zô game đó","mày làm sao vậy anh em đang đợi mày vô game đó"
"t thik đi cf vs ổng lém ổng dth","tao thích đi cf với ông ấy lắm ông ấy dễ thương"
"tcn bả ko cs stt nào lun m ơi lạ","trang cá nhân bạn ấy không có trạng thái nào luôn mày ơi lạ"
"sđt này của tk scam nha ae né gấp","số điện thoại này của thằng lừa gạt nha anh em né gấp"
"mxh nay flop wa z ae kíu tus t","mạng xã hội nay mất tương tác quá vậy anh em cứu bài viết tao"
"ib xl cho t hnay lẹ đi m ơi t đợi","nhắn tin Zalo cho tao hôm nay lẹ đi mày ơi tao đợi"
"dr m lói bả ms bít á t chx lói","đúng rồi mày nói bạn ấy mới biết á tao chưa nói"
"nngon ae t off đi ngủ r mai gặp","ngủ ngon anh em tao ngoại tuyến đi ngủ rồi mai gặp"
"bả đag khok bùn lém m ơi dỗ bả đi","bạn ấy đang khóc buồn lắm mày ơi dỗ bạn ấy đi"
"cđm đg tag ổng qtqd kìa zô coi lẹ","cộng đồng mạng đang gắn thẻ ông ấy quá trời quá đất kìa vô coi lẹ"
"klq t ms đc onl FB xíu r off","không liên quan tao mới được trực tuyến Facebook xíu rồi ngoại tuyến"
"kb mxh vs t lẹ nha ní t mtr","kết bạn mạng xã hội với tao lẹ nha bạn tao mong trả"
"cv ổn ko m dạo này s r ổn k","công việc ổn không mày dạo này sao rồi ổn không"
"gđ bả ms đi chs zề ae ạ zui lắm","gia đình bạn ấy mới đi chơi về anh em ạ vui lắm"
"nyc m rep tn chx z m t hóng","người yêu cũ mày trả lời tin nhắn chưa vậy mày tao hóng"
"nym ổng nhìn slay wá ta đzai thật","người yêu mới ông ấy nhìn xuất sắc quá ta đẹp trai thật"
"tks m nha wà dth lém á t thik","cảm ơn mày nha quà dễ thương lắm á tao thích"
"sr t chx xem ytb hnay nha đg bận","xin lỗi tao chưa xem YouTube hôm nay nha đang bận"
"a iu t đg lmj z a ăn cơm chx","anh yêu tao đang làm gì vậy anh ăn cơm chưa"
"cj ơi ổng thả thính bả đk e nghi lém","chị ơi ông ấy thả thính bạn ấy đúng không em nghi lắm"
"ce mik onl mua sắm đi cj e bao","chị em mình trực tuyến mua sắm đi chị em bao"
"cno ctay hqua r ae bít ko s lẹ z","chúng nó chia tay hôm qua rồi anh em biết không sao lẹ vậy"
"đr t cũg thik đi chs vs ae lém nha","đúng rồi tao cũng thích đi chơi với anh em lắm nha"
"qtrong là ổng đg lmj z có nhớ e k","quan trọng là ông ấy đang làm gì vậy có nhớ em không"
"bả khok sưng mắt hqua m ơi t thương bả","bạn ấy khóc sưng mắt hôm qua mày ơi tao thương bạn ấy"
"sk sắp tới ae đi ko z t cbi đồ","sự kiện sắp tới anh em đi không vậy tao chuẩn bị đồ"
"t đéo thik tk toxic đó xíu nào m ơi","tao không thích thằng tiêu cực đó xíu nào mày ơi"
"kr của t bả ms là ng sai m ạ đr","ý kiến riêng của tao bạn ấy mới là người sai mày ạ đúng rồi"
"mxh hnay bthg lém ksao đâu t lướt r","mạng xã hội hôm nay bình thường lắm không sao đâu tao lướt rồi"
"ổng ms cmt stt bả hwa nha t thấy r","ông ấy mới bình luận trạng thái bạn ấy hôm qua nha tao thấy rồi"
"mún mua đth thì kb vs t lẹ m ơi","muốn mua điện thoại thì kết bạn với tao lẹ mày ơi"
"tcn flop wa t mún khok lun ae kíu","trang cá nhân mất tương tác quá tao muốn khóc luôn anh em cứu"
"m sr ngta chx mà lói z m vô duyên","mày xin lỗi người ta chưa mà nói vậy mày vô duyên"
"bả dthuongg mà nết kì z tr t chê","bạn ấy dễ thương mà nết kì vậy trời tao chê"
"ck ơi ck đag lmj đó rep e lẹ đi","chồng ơi chồng đang làm gì đó trả lời em lẹ đi"
"bả ms tks mn trên FB r dth ghê","bạn ấy mới cảm ơn mọi người trên Facebook rồi dễ thương ghê"
"ae mún cf thì ib lẹ nha t đg đợi","anh em muốn cf thì nhắn tin lẹ nha tao đang đợi"
"hnay t bận vc qtr ae đi trc nha t tới sau","hôm nay tao bận việc quan trọng anh em đi trước nha tao tới sau"
"ig sập r ae ơi ko zô đc nx đâu nha","Instagram sập rồi anh em ơi không vô được nữa đâu nha"
"bả ms up tus bóc fact ổng kìa zô hóng","bạn ấy mới lên bài viết bóc sự thật ông ấy kìa vô hóng"
"same t cx ghét tk đó kinh khủng lun m","giống tao cũng ghét thằng đó kinh khủng luôn mày"
"bả mặc váy này slay qtqd ae ơii xinh","bạn ấy mặc váy này xuất sắc quá trời quá đất anh em ơii xinh"
"cno scam nym bả đó m kíu bả lẹ nha","chúng nó lừa gạt người yêu mới bạn ấy đó mày cứu bạn ấy lẹ nha"
"t chx kb fb ổng ae có link ko cho t","tao chưa kết bạn facebook ông ấy anh em có link không cho tao"
"t đg onl xl m ib t nha m đg gấp","tao đang trực tuyến Zalo mày nhắn tin tao nha mày đang gấp"
"mxh hnay nhìu drama wa m ạ hít mệt","mạng xã hội hôm nay nhiều drama quá mày ạ hít mệt"
"bả mún mua bcs cj ơi kkk mắc cười","bạn ấy muốn mua bao cao su chị ơi cười mắc cười"
"ổng dth mà nết bthg thoi m ơi t thấy","ông ấy dễ thương mà nết bình thường thôi mày ơi tao thấy"
"sr ae nay t mệt t off trc nha nngon","xin lỗi anh em nay tao mệt tao ngoại tuyến trước nha ngủ ngon"
"cv hnay ntn ổn ko m kể t nghe vs","công việc hôm nay như thế nào ổn không mày kể tao nghe với"
"gđ ổng đg ở BV đó ae wa thăm đi","gia đình ông ấy đang ở bệnh viện đó anh em qua thăm đi"
"t thik ng dth ko thik ng đzai đâu","tao thích người dễ thương không thích người đẹp trai đâu"
"thoi t ko rep ổng nx mệt wa m ạ","thôi tao không trả lời ông ấy nữa mệt quá mày ạ"
"alo m đg ở đâu r mh zề tới z m","xin chào mày đang ở đâu rồi mấy giờ về tới vậy mày"
"thg đó m bít lmj ko kể t bít lẹ","thằng đó mày biết làm gì không kể tao biết lẹ"
"cr ms unf FB t r ae kíu t vs bùn","người mình thích mới hủy kết bạn Facebook tao rồi anh em cứu tao với buồn"
"cmnm mn nha zui vẻ hp bên gđ nha ní","chúc mừng năm mới mọi người nha vui vẻ hạnh phúc bên gia đình nha bạn"
"cmsn ní nha t bận cv qá ksao đk m","chúc mừng sinh nhật bạn nha tao bận công việc quá không sao đúng không mày"
"tks b bả cx ms đi chs vs t nay r","cảm ơn bạn bạn ấy cũng mới đi chơi với tao nay rồi"
"m bùn m khok lms t dỗ đc m đây m","mày buồn mày khóc làm sao tao dỗ được mày đây mày"
"nngon nha vk iu của a cbi ngủ r nha","ngủ ngon nha vợ yêu của anh chuẩn bị ngủ rồi nha"
"cno rủ đi chs ae mún lmj hnay z m","chúng nó rủ đi chơi anh em muốn làm gì hôm nay vậy mày"
"otp t nay đg đi cf ae bít ko t thấy","ghép cặp tao nay đang đi cf anh em biết không tao thấy"
"bả vs tk kia real qtqd ae ạ t thề","bạn ấy với thằng kia thật quá trời quá đất anh em ạ tao thề"
"bả ct ổng r đg bùn khok qá tr thương","bạn ấy chia tay ông ấy rồi đang buồn khóc quá trời thương"
"gđ mình dự định sang năm xây nhà","gia đình mình dự định sang năm xây nhà"
"cv dạo này áp lực quá chú ạ","công việc dạo này áp lực quá chú ạ"
"tks anh đã hỗ trợ em hoàn thành hồ sơ","cảm ơn anh đã hỗ trợ em hoàn thành hồ sơ"
"sđt của bác sĩ cho tôi xin với","số điện thoại của bác sĩ cho tôi xin với"
"mxh bây giờ quảng cáo nhiều quá bác nhỉ","mạng xã hội bây giờ quảng cáo nhiều quá bác nhỉ"
"ae mình rảnh thì ngồi uống chén trà","anh em mình rảnh thì ngồi uống chén trà"
"off máy nghỉ ngơi đi cháu đừng thức khuya","ngoại tuyến máy nghỉ ngơi đi cháu đừng thức khuya"
"ntn là không đúng quy trình rồi","như thế nào là không đúng quy trình rồi"
"tcn của công ty mình cần cập nhật ảnh","trang cá nhân của công ty mình cần cập nhật ảnh"
"bít thế tôi đã mua bảo hiểm sớm hơn","biết thế tôi đã mua bảo hiểm sớm hơn"
"qtr là sức khỏe của ông bà thế nào","quan trọng là sức khỏe của ông bà thế nào"
"ksao đâu hỏng thì mình gọi thợ sửa","không sao đâu hỏng thì mình gọi thợ sửa"
"vdu như trường hợp này thì xử lý sao","ví dụ như trường hợp này thì xử lý sao"
"khok lóc không giải quyết được vấn đề","khóc lóc không giải quyết được vấn đề"
"lmj cũng phải cẩn thận củi lửa nhé","làm gì cũng phải cẩn thận củi lửa nhé"
"bb nhà tôi dạo này lười ăn lắm","em bé nhà tôi dạo này lười ăn lắm"
"SK là quan trọng nhất mọi người ạ","sức khỏe là quan trọng nhất mọi người ạ"
"sk khai trương cửa hàng diễn ra tốt đẹp","sự kiện khai trương cửa hàng diễn ra tốt đẹp"
"BV trung ương dạo này làm việc rất chuyên nghiệp","bệnh viện trung ương dạo này làm việc rất chuyên nghiệp"
"cmsn anh chúc anh tuổi mới thành công","chúc mừng sinh nhật anh chúc anh tuổi mới thành công"
"cmnm chúc cả nhà một năm an khang","chúc mừng năm mới chúc cả nhà một năm an khang"
"klq nhưng giá vàng hôm nay tăng cao quá","không liên quan nhưng giá vàng hôm nay tăng cao quá"
"qtqd luôn ông ấy làm việc quên ăn quên ngủ","quá trời quá đất luôn ông ấy làm việc quên ăn quên ngủ"
"thks chị đã tư vấn cho em gói này","cảm ơn chị đã tư vấn cho em gói này"
"sry tôi đang bận họp xíu gọi lại nhé","xin lỗi tôi đang bận họp xíu gọi lại nhé"
"ce phụ nữ mình phải tự thương lấy mình","chị em phụ nữ mình phải tự thương lấy mình"
"ace trong tổ dân phố họp lúc 8h","anh chị em trong tổ dân phố họp lúc 8h"
"onl thì xem tờ trình tôi vừa gửi","trực tuyến thì xem tờ trình tôi vừa gửi"
"ms sáng ra mà trời đã nắng gắt rồi","mới sáng ra mà trời đã nắng gắt rồi"
"lói năng phải giữ lễ phép với người trên","nói năng phải giữ lễ phép với người trên"
"unf những trang tin không chính thống đi","hủy kết bạn những trang tin không chính thống đi"
"FB của tôi bị mất mật khẩu rồi","Facebook của tôi bị mất mật khẩu rồi"
"tt dạo này nhiều clip hướng dẫn nấu ăn hay","Tiktok dạo này nhiều clip hướng dẫn nấu ăn hay"
"nhắn tin qua xl cho tôi xin cái địa chỉ","nhắn tin qua Zalo cho tôi xin cái địa chỉ"
"mess nhà tôi hôm nay mạng chán quá","Messenger nhà tôi hôm nay mạng chán quá"
"fl trang này để cập nhật tin tức nông nghiệp","theo dõi trang này để cập nhật tin tức nông nghiệp"
"yt có bài phát biểu của chủ tịch hay quá","YouTube có bài phát biểu của chủ tịch hay quá"
"cmt lịch sự tôn trọng tác giả nhé mọi người","bình luận lịch sự tôn trọng tác giả nhé mọi người"
"b có thời gian thì xem qua dự án này","bạn có thời gian thì xem qua dự án này"
"thik cái bàn gỗ này quá giá bao nhiêu vậy","thích cái bàn gỗ này quá giá bao nhiêu vậy"
"đc mùa lúa năm nay bà con phấn khởi","được mùa lúa năm nay bà con phấn khởi"
"vs tôi thì việc học luôn là ưu tiên","với tôi thì việc học luôn là ưu tiên"
"uk tôi sẽ lưu ý vấn đề này","ừ tôi sẽ lưu ý vấn đề này"
"j mà vội thế bác ngồi chơi xíu đã","gì mà vội thế bác ngồi chơi xíu đã"
"trl công văn này trong ngày hôm nay nhé","trả lời công văn này trong ngày hôm nay nhé"
"avt của hội phụ lão mình đẹp quá","ảnh đại diện của hội phụ lão mình đẹp quá"
"nnao cũng phải giữ lấy cái đạo đức","như nào cũng phải giữ lấy cái đạo đức"
"nnay là vi phạm luật giao thông rồi","như này là vi phạm luật giao thông rồi"
"đtr mà lại làm chuyện phi pháp thì hỏng","đẹp trai mà lại làm chuyện phi pháp thì hỏng"
"iu nước là nghĩa vụ của mỗi công dân","yêu nước là nghĩa vụ của mỗi công dân"
"z thì thống kê lại số lượng hàng hóa","vậy thì thống kê lại số lượng hàng hóa"
"đth của tôi bị rơi vỡ màn hình rồi","điện thoại của tôi bị rơi vỡ màn hình rồi"
"típ tục duy trì truyền thống tốt đẹp này","tiếp tục cố gắng duy trì truyền thống tốt đẹp này"
"nx đi tôi đang nghe bác trình bày","nữa đi tôi đang nghe bác trình bày"
"thui chuyện cũ rồi dĩ hòa vi quý","thôi chuyện cũ rồi dĩ hòa vi quý"
"đg chuẩn bị hồ sơ thầu cho dự án","đang chuẩn bị hồ sơ thầu cho dự án"
"cx muốn tham gia nhưng tôi bận việc quê","cũng muốn tham gia nhưng tôi bận việc quê"
"said lời thật lòng bao giờ cũng khó nghe","nói lời thật lòng bao giờ cũng khó nghe"
"dép lào tôi không dùng nên bác gọi trực tiếp","Zalo tôi không dùng nên bác gọi trực tiếp"
"bl đừng có đả kích cá nhân nhé","bình luận đừng có đả kích cá nhân nhé"
"wa bên tôi lấy ít rau sạch về ăn","quá bên tôi lấy ít rau sạch về ăn"
"khok làm gì hãy cố gắng lên cháu","khóc làm gì hãy cố gắng lên cháu"
"đrui kế hoạch này rất khả thi","đúng rồi kế hoạch này rất khả thi"
"vdu bài toán kinh tế này giải quyết sao","ví dụ bài toán kinh tế này giải quyết sao"
"hi mọi người chúc một ngày làm việc hiệu quả","xin chào mọi người chúc một ngày làm việc hiệu quả"
"pp nhé hẹn gặp lại vào cuộc họp sau","tạm biệt nhé hẹn gặp lại vào cuộc họp sau"
"nngon nhé ngày mai công việc sẽ tốt hơn","ngủ ngon nhé ngày mai công việc sẽ tốt hơn"
"ah em trong nhà phải biết nhường nhịn","anh em trong nhà phải biết nhường nhịn"
"ck tôi hiền lành chỉ biết làm ăn","chồng tôi hiền lành chỉ biết làm ăn"
"cre của thông tin này từ nguồn nào vậy","nguồn của thông tin này từ nguồn nào vậy"
"ctay công việc cũ để tìm hướng đi mới","chia tay công việc cũ để tìm hướng đi mới"
"đk vậy thì mọi người cùng biểu quyết","đúng không vậy thì mọi người cùng biểu quyết"
"e xin phép nghỉ một buổi vì việc riêng","em xin phép nghỉ một buổi vì việc riêng"
"fact là ông ấy đã nghỉ hưu từ năm ngoái","sự thật là ông ấy đã nghỉ hưu từ năm ngoái"
"fake chứng từ là vi phạm pháp luật đấy","giả mạo chứng từ là vi phạm pháp luật đấy"
"flop quá bài đăng bán hàng chẳng ai xem","mất tương tác quá bài đăng bán hàng chẳng ai xem"
"hh chuyện này buồn cười thật đấy bác","haha chuyện này buồn cười thật đấy bác"
"kkk thôi mình không đùa chuyện này nữa","cười thôi mình không đùa chuyện này nữa"
"ib báo giá cho tôi cái máy cày này nhé","nhắn tin báo giá cho tôi cái máy cày này nhé"
"in4 của chủ lô đất này bác có không","thông tin của chủ lô đất này bác có không"
"k tôi không đồng ý với điều khoản này","không tôi không đồng ý với điều khoản này"
"ko có gì quý hơn độc lập tự do","không có gì quý hơn độc lập tự do"
"khum biết ông ấy có ở nhà không","không biết ông ấy có ở nhà không"
"no tôi đang kiêng ăn mỡ không ăn đâu","không tôi đang kiêng ăn mỡ không ăn đâu"
"kh ai giàu ba họ không ai khó ba đời","không ai giàu ba họ không ai khó ba đời"
"kr của tôi là nên đầu tư vào đất nền","ý kiến riêng của tôi là nên đầu tư vào đất nền"
"m sang bảo mẹ hnay có khách đến chơi","mày sang bảo mẹ hôm nay có khách đến chơi"
"t muốn đầu tư thêm vào xưởng sản xuất","tao muốn đầu tư thêm vào xưởng sản xuất"
"cno đi làm xa cả năm mới về một lần","chúng nó đi làm xa cả năm mới về một lần"
"mem mới vào hội cựu chiến binh","thành viên mới vào hội cựu chiến binh"
"mtr cho tôi cái cuốc hwa tôi mượn nhé","mong trả cho tôi cái cuốc hôm qua tôi mượn nhé"
"mxh là nơi để kết nối bà con xa quê","mạng xã hội là nơi để kết nối bà con xa quê"
"ngta đang vội cho người ta qua trước đi","người ta đang vội cho người ta qua trước đi"
"bả dạo này yếu rồi hay đau lưng lắm","bạn ấy dạo này yếu rồi hay đau lưng lắm"
"ổng là người có uy tín nhất xóm mình","ông ấy là người có uy tín nhất xóm mình"
"ní ơi dạo này vườn tược thế nào rồi","bạn ơi dạo này vườn tược thế nào rồi"
"otp của hai đứa trẻ nhìn xứng đôi quá","ghép cặp của hai đứa trẻ nhìn xứng đôi quá"
"real hay giả thì công an sẽ kết luận","thật hay giả thì công an sẽ kết luận"
"s bác lại nói nặng lời với cháu nó thế","sao bác lại nói nặng lời với cháu nó thế"
"same quan điểm tôi cũng định nói như vậy","giống quan điểm tôi cũng định nói như vậy"
"slay thật sự bộ áo dài của bà đẹp quá","xuất sắc thật sự bộ áo dài của bà đẹp quá"
"stt của phường mới đăng bác xem chưa","trạng thái của phường mới đăng bác xem chưa"
"tag tôi vào cái ảnh họp lớp hôm nọ nhé","gắn thẻ tôi vào cái ảnh họp lớp hôm nọ nhé"
"tcn của hội mình nên đăng tin hữu ích","trang cá nhân của hội mình nên đăng tin hữu ích"
"tk ngân hàng của tôi đang bị lỗi","tài khoản ngân hàng của tôi đang bị lỗi"
"thg bé nhà tôi nay được học bổng rồi","thằng bé nhà tôi nay được học bổng rồi"
"toxic quá thì mình đừng xem làm gì","tiêu cực quá thì mình đừng xem làm gì"
"tus này nói đúng thực trạng xã hội đấy","bài viết này nói đúng thực trạng xã hội đấy"
"up bài bán hàng mà ko ai tương tác","lên bài bán hàng mà không ai tương tác"
"vv nha các cháu chú đi du lịch đây","vui vẻ nha các cháu chú đi du lịch đây"
"xh bây giờ cái gì cũng phải nhanh","xu hướng bây giờ cái gì cũng phải nhanh"
"cđm đang kêu gọi ủng hộ đồng bào","cộng đồng mạng đang kêu gọi ủng hộ đồng bào"
"klq nma vườn rau nhà bác tốt quá","không liên quan nhưng mà vườn rau nhà bác tốt quá"
"qtqd luôn ông ấy làm giàu từ hai bàn tay trắng","quá trời quá đất luôn ông ấy làm giàu từ hai bàn tay trắng"
"nyc của tôi giờ cũng đã có cháu nội","người yêu cũ của tôi giờ cũng đã có cháu nội"
"nym của chú ấy là người cùng quê","người yêu mới của chú ấy là người cùng quê"
"kb với tôi để tôi gửi danh sách hàng","kết bạn với tôi để tôi gửi danh sách hàng"
"tks anh đã nhắc tôi lịch họp chiều nay","cảm ơn anh đã nhắc tôi lịch họp chiều nay"
"sr tôi bận tưới cây nên ko cầm máy","xin lỗi tôi bận tưới cây nên không cầm máy"
"cv nhà nông dạo này vất vả lắm cháu","công việc nhà nông dạo này vất vả lắm cháu"
"gđ tôi sang tuần có giỗ cụ","gia đình tôi sang tuần có giỗ cụ"
"mìn định mua thêm ít cây cảnh về chơi","mình định mua thêm ít cây cảnh về chơi"
"mik dạo này hay đau nhức xương khớp","mình dạo này hay đau nhức xương khớp"
"mk xin lỗi vì lỡ hẹn buổi trà chiều","mình xin lỗi vì lỡ hẹn buổi trà chiều"
"bh giá nông sản đang bấp bênh quá","bây giờ giá nông sản đang bấp bênh quá"
"bây h tôi ra đồng xíu có gì gọi sau","bây giờ tôi ra đồng xíu có gì gọi sau"
"h này mà bác chưa đi ngủ à","giờ này mà bác chưa đi ngủ à"
"ch thấy ông ấy đi họp chi bộ","chưa thấy ông ấy đi họp chi bộ"
"chx ăn cơm nên tôi hơi mệt","chưa ăn cơm nên tôi hơi mệt"
"mh xe khách chạy bác nhớ để ý nhé","mấy giờ xe khách chạy bác nhớ để ý nhé"
"bt thế này tôi đã ko nhận lời","biết thế này tôi đã không nhận lời"
"bít đâu mai trời lại nắng đẹp","biết đâu mai trời lại nắng đẹp"
"bik đường rồi bác cứ yên tâm","biết đường rồi bác cứ yên tâm"
"thik uống trà hơn là uống cà phê","thích uống trà hơn là uống cà phê"
"bthg tôi hay dậy từ 5h sáng tập thể dục","bình thường tôi hay dậy từ 5h sáng tập thể dục"
"bth thôi làm gì mà bác nóng thế","bình thường thôi làm gì mà bác nóng thế"
"bình thg tôi vẫn đi chợ sớm mua đồ tươi","bình thường tôi vẫn đi chợ sớm mua đồ tươi"
"đc lời như cởi tấm lòng cảm ơn bác","được lời như cởi tấm lòng cảm ơn bác"
"dc ngày nghỉ tôi lại dọn dẹp nhà cửa","được ngày nghỉ tôi lại dọn dẹp nhà cửa"
"vs tôi thì sức khỏe là quan trọng nhất","với tôi thì sức khỏe là quan trọng nhất"
"ừm để tôi xem lại sổ sách đã","ừm để tôi xem lại sổ sách đã"
"uk có gì tôi sẽ báo lại sau","ừ có gì tôi sẽ báo lại sau"
"um nngon nhé mọi người tôi tắt máy","ừm ngủ ngon nhé mọi người tôi tắt máy"
"acp lời mời của tôi trong nhóm nhé","đồng ý lời mời của tôi trong nhóm nhé"
"r bao giờ bác định sang tôi chơi","rồi bao giờ bác định sang tôi chơi"
"j mà bác cứ cuống lên thế","gì mà bác cứ cuống lên thế"
"giề cũng được miễn là ae vui vẻ","gì cũng được miễn là anh em vui vẻ"
"trl thư mời này giúp tôi với nhé","trả lời thư mời này giúp tôi với nhé"
"rep tin nhắn tôi gửi ảnh cháu nội cho","trả lời tin nhắn tôi gửi ảnh cháu nội cho"
"off mạng đi cho tâm hồn thanh thản","ngoại tuyến mạng đi cho tâm hồn thanh thản"
"avt của hội cựu giáo chức mình đẹp đấy","ảnh đại diện của hội cựu giáo chức mình đẹp đấy"
"lmj thì cũng phải có cái tâm bác ạ","làm gì thì cũng phải có cái tâm bác ạ"
"lm ơn chỉ giúp tôi đường ra bưu điện","làm ơn chỉ giúp tôi đường ra bưu điện"
"lms để chăm sóc cây lan này tốt nhất","làm sao để chăm sóc cây lan này tốt nhất"
"ntn là bác phạm luật giao thông rồi","như thế nào là bác phạm luật giao thông rồi"
"nnao cũng phải giữ lấy cái đức cháu ạ","như nào cũng phải giữ lấy cái đức cháu ạ"
"nnay thì hỏng hết cả mẻ kẹo rồi","như này thì hỏng hết cả mẻ kẹo rồi"
"đtr mà hành xử thiếu văn hóa quá","đẹp trai mà hành xử thiếu văn hóa quá"
"đtrai mà ko chịu làm ăn thì vứt","đẹp trai mà không chịu làm ăn thì vứt"
"dz thế kia chắc con nhà gia giáo","đẹp trai thế kia chắc con nhà gia giáo"
"đzai nhưng tính tình hơi nóng nảy","đẹp trai nhưng tính tình hơi nóng nảy"
"đz ngời ngời thế mà vẫn độc thân","đẹp trai ngời ngời thế mà vẫn độc thân"
"depzai quá cũng khổ bác nhỉ","đẹp trai quá cũng khổ bác nhỉ"
"iu con cháu là bản năng của người già","yêu con cháu là bản năng của người già"
"eo ôi cái hoa này thơm thế bác ơi","yêu ôi cái hoa này thơm thế bác ơi"
"cr của cháu nhà tôi là cô giáo đấy","người mình thích của cháu nhà tôi là cô giáo đấy"
"z thì chốt phương án xây cổng nhé","vậy thì chốt phương án xây cổng nhé"
"zạy là bác đồng ý giúp tôi rồi nhé","vậy là bác đồng ý giúp tôi rồi nhé"
"v thui tôi về sắc thuốc cho bà nhà","vậy thôi tôi về sắc thuốc cho bà nhà"
"dậy sớm để hít thở không khí trong lành","vậy sớm để hít thở không khí trong lành"
"dth dã man cái nết đứa cháu tôi","dễ thương dã man cái nết đứa cháu tôi"
"dthuongg quá trời cái mũ bác đan","dễ thương quá trời cái mũ bác đan"
"đth của tôi lại hết tiền rồi","điện thoại của tôi lại hết tiền rồi"
"cj nhà bác khéo tay hay làm quá","chị nhà bác khéo tay hay làm quá"
