Câu gốc,Câu chuẩn hóa
"r j trl ib t nha đg gấp","rồi gì trả lời nhắn tin tao nha đang gấp"
"giề m ms lói j t nghe ko rõ","gì mày mới nói gì tao nghe không rõ"
"rep lẹ nha bả đg hỏi thăm m","trả lời lẹ nha bạn ấy đang hỏi thăm mày"
"off FB lmj z bùn chán r à","ngoại tuyến Facebook làm gì vậy buồn chán rồi à"
"avt m ms đổi slay qtqd","ảnh đại diện mày mới đổi xuất sắc quá trời quá đất"
"ntn r ổng cs rep tn ko","như thế nào rồi ông ấy có trả lời tin nhắn không"
"nnao ms đr hở mn t rối wa","như nào mới đúng rồi hở mọi người tao rối quá"
"nnay t khok tht chứ đùa j","như này tao khóc thật chứ đùa gì"
"đtr dz wa ngta iu m r đó","đẹp trai đẹp trai quá người ta yêu mày rồi đó"
"depzai iu bả lém bít ko ae","đẹp trai yêu bạn ấy lắm biết không anh em"
"eo cr r mà ko dám kb FB","yêu người mình thích rồi mà không dám kết bạn Facebook"
"z zạy thui m tắt máy đi t bận","vậy vậy thôi mày tắt máy đi tao bận"
"v dậy t zề trc m nha pp ae","vậy vậy tao về trước mày nha tạm biệt anh em"
"dthuongg đth ms mua hả m","dễ thương điện thoại mới mua hả mày"
"cj ae m đg lmj z đi nhậu ko","chị anh em mày đang làm gì vậy đi nhậu không"
"típ nx ko ae đg hóng bả lói","tiếp nữa không anh em đang hóng bạn ấy nói"
"th thui nngon m nha t bùn ngủ","thôi thôi ngủ ngon mày nha tao buồn ngủ"
"thoai ce e ms zề mệt lém r","thôi chị em em mới về mệt lắm rồi"
"ace onl tt ko zô hóng drama bả","anh chị em trực tuyến Tiktok không vô hóng drama bạn ấy"
"đag đg lmj đó rep mess t m","đang đang làm gì đó trả lời Messenger tao mày"
"dg ms lói xog ổng off lun r","đang mới nói xong ông ấy ngoại tuyến luôn rồi"
"cx cũg bthg mà s cno ns ghê z","cũng cũng bình thường mà sao chúng nó nói ghê vậy"
"said unf tk đó lẹ đi m ơi","nói hủy kết bạn thằng đó lẹ đi mày ơi"
"FB ig flop dập mặt chán ghê","Facebook Instagram mất tương tác dập mặt chán ghê"
"xl dép lào ms sđt nha ae kb","Zalo Zalo mới số điện thoại nha anh em kết bạn"
"fl yt ytb ms up tus nè mng","theo dõi YouTube YouTube mới lên bài viết này mọi người"
"cmt bl zô tus bả đi r bít","bình luận bình luận vô bài viết bạn ấy đi rồi biết"
"acc bb đg bị hack r ae kíu","tài khoản bạn bè đang bị hack rồi anh em cứu"
"cmsn cmnm mn zui vẻ nha SK qtqd","chúc mừng sinh nhật chúc mừng năm mới mọi người vui vẻ nha sức khỏe quá trời quá đất"
"BV bcs mua hnay chưa bả hỏi z","bệnh viện bao cao su mua hôm nay chưa bạn ấy hỏi vậy"
"hnay hn ae đg rảnh ko cf ko","hôm nay hôm nay anh em đang rảnh không cf không"
"ksao ks qtrong qtr là ae zui r","không sao không sao quan trọng quan trọng là anh em vui rồi"
"tgian tg qus wa bùn khok r","thời gian thời gian quá quá buồn khóc rồi"
"zui hqua đr đroi đrui drui droi","vui hôm qua đúng rồi đúng rồi đúng rồi đúng rồi đúng rồi"
"VD vdu ei ay đi chs vs t m","ví dụ ví dụ ê ê đi chơi với tao mày"
"hi lô alo pp m t off nha nngon","xin chào xin chào xin chào tạm biệt mày tao ngoại tuyến nha ngủ ngon"
"bai bye nn a ah ck vk lmj z","tạm biệt tạm biệt ngủ ngon anh anh chồng vợ làm gì vậy"
"cre ct ctay đk e fact fake z bả","nguồn chia tay chia tay đúng không em sự thật giả mạo vậy bạn ấy"
"flop hh kkk kk ib in4 r bả ns","mất tương tác haha cười haha nhắn tin thông tin rồi bạn ấy nói"
"k ko kh khum no đéo kr t bít","không không không không không không ý kiến riêng tao biết"
"m t cno mem ms mtr bả đzai wá","mày tao chúng nó thành viên mới mong trả bạn ấy đẹp trai quá"
"mxh ngta bả ổng ní otp real wa","mạng xã hội người ta bạn ấy ông ấy bạn ghép cặp thật quá"
"s same scam slay stt tag tk toxic","sao giống lừa gạt xuất sắc trạng thái gắn thẻ thằng tiêu cực"
"tcn thg đó up tus zui vẻ z ae","trang cá nhân thằng đó lên bài viết vui vẻ vậy anh em"
"xh bn b bro mik mk đg lmj v","xu hướng bạn bạn bạn mình mình đang làm gì vậy"
"bh bây h h mh ms đc đi cf","bây giờ bây giờ giờ mấy giờ mới được đi cf"
"bít bt bik thik bthg bth đc dc","biết biết biết thích bình thường bình thường được được"
"vs ừm uk um acp r j giề trl","với ừ ừ ừm đồng ý rồi gì gì trả lời"
"rep off avt lmj lm lms ntn nnao","trả lời ngoại tuyến ảnh đại diện làm gì làm làm sao như thế nào như nào"
"đtr dz depzai iu eo cr z zạy","đẹp trai đẹp trai đẹp trai yêu yêu người mình thích vậy vậy"
"v dậy dth dthuongg đth cj ae típ","vậy vậy dễ thương dễ thương điện thoại chị anh em tiếp"
"nx th thui thoi thoai ce e ace","nữa thôi thôi thôi thôi chị em em anh chị em"
"onl đag đg dg ms cx cũg lói","trực tuyến đang đang đang mới cũng cũng nói"
"ns said unf FB ig tt xl dép lào","nói nói hủy kết bạn Facebook Instagram Tiktok Zalo Zalo"
"mess fl sđt yt ytb cmt bl acc","Messenger theo dõi số điện thoại YouTube YouTube bình luận bình luận tài khoản"
"bb cmsn cmnm SK sk BV bcs hnay hn","bạn bè chúc mừng sinh nhật chúc mừng năm mới sức khỏe sự kiện bệnh viện bao cao su hôm nay hôm nay"
"ksao ks qtrong qtr tgian tg qus wa","không sao không sao quan trọng quan trọng thời gian thời gian quá quá"
"bùn khok zui hqua dr đr đroi đrui","buồn khóc vui hôm qua đúng rồi đúng rồi đúng rồi đúng rồi"
"drui droi VD vdu ei ay hi lô","đúng rồi đúng rồi ví dụ ví dụ ê ê xin chào xin chào"
"alo pp bai bye nngon nn a ah","xin chào tạm biệt tạm biệt tạm biệt ngủ ngon ngủ ngon anh anh"
"ck vk cre ct ctay đk e fact","chồng vợ nguồn chia tay chia tay đúng không em sự thật"
"fake flop hh kkk kk ib in4 k","giả mạo mất tương tác haha cười haha nhắn tin thông tin không"
"ko kh khum no đéo kr m t cno","không không không không không không ý kiến riêng mày tao chúng nó"
"mem mtr mxh ngta bả ổng ní otp","thành viên mong trả mạng xã hội người ta bạn ấy ông ấy bạn ghép cặp"
"real s same scam slay stt tag tcn","thật sao giống lừa gạt xuất sắc trạng thái gắn thẻ trang cá nhân"
"tk thg toxic tus up vv xh bn","thằng thằng tiêu cực bài viết lên vui vẻ xu hướng bạn"
"m bít tk nyc bả đg lmj ko m","mày biết thằng người yêu cũ bạn ấy đang làm gì không mày"
"klq nma stt m ms up dth qtqd","không liên quan nhưng mà trạng thái mày mới lên dễ thương quá trời quá đất"
"sr m nay t bận cv k đi cf đc r","xin lỗi mày nay tao bận công việc không đi cf được rồi"
"cđm lùng in4 lẹ vl kíu tk đó ae","cộng đồng mạng lùng thông tin lẹ vãi luyện cứu thằng đó anh em" -> *Xin lỗi, mình đã lỡ tay gõ từ "vl". Dòng này sẽ được điều chỉnh.*
"cđm lùng in4 lẹ wá kíu tk đó ae","cộng đồng mạng lùng thông tin lẹ quá cứu thằng đó anh em"
"nym của ổng nhìn slay bthg th m","người yêu mới của ông ấy nhìn xuất sắc bình thường thôi mày"
"gđ ổng hnay cs đi mxh ko bả lói j","gia đình ông ấy hôm nay có đi mạng xã hội không bạn ấy nói gì"
"tks ae đg bùn đc an ủi r nha cno","cảm ơn anh em đang buồn được an ủi rồi nha chúng nó"
"kb ig đi ae t fl chéo cho m nha","kết bạn Instagram đi anh em tao theo dõi chéo cho mày nha"
"sr cj nay e onl lẹ đc ko e đg bận","xin lỗi chị nay em trực tuyến lẹ được không em đang bận"
"cv sml mệt qtqd h chx zề đc bả ơi","công việc sấp mặt mệt quá trời quá đất giờ chưa về được bạn ấy ơi"
"hnay trời đẹp quá m nhỉ","hôm nay trời đẹp quá mày nhỉ"
"cậu ăn cơm chx","cậu ăn cơm chưa"
"tks cậu đã giúp đỡ mình nha","cảm ơn cậu đã giúp đỡ mình nha"
"gđ bạn dạo này khỏe không","gia đình bạn dạo này khỏe không"
"tối nay đi xem phim ko","tối nay đi xem phim không"
"bả mới mua váy mới đẹp lắm","bạn ấy mới mua váy mới đẹp lắm"
"ổng đang làm việc ở công ty","ông ấy đang làm việc ở công ty"
"sao m lại nói như thế","sao mày lại nói như thế"
"cđm đang bàn tán xôn xao vụ này","cộng đồng mạng đang bàn tán xôn xao vụ này"
"nym của anh ấy nhìn hiền lành nhỉ","người yêu mới của anh ấy nhìn hiền lành nhỉ"
"cv dạo này áp lực quá cậu ạ","công việc dạo này áp lực quá cậu ạ"
"mìn vừa mới đi siêu thị về","mình vừa mới đi siêu thị về"
"đr chuyện đó ai cũng rõ mà","đúng rồi chuyện đó ai cũng rõ mà"
"sr hôm nay mình về hơi muộn","xin lỗi hôm nay mình về hơi muộn"
"nyc của cậu dạo này sao rồi","người yêu cũ của cậu dạo này sao rồi"
"bthg mình hay uống cà phê sữa","bình thường mình hay uống cà phê sữa"
"dth thế này ai mà chịu nổi","dễ thương thế này ai mà chịu nổi"
"cj ấy nấu ăn ngon cực kỳ","chị ấy nấu ăn ngon cực kỳ"
"rep tin nhắn nhanh lên xem nào","trả lời tin nhắn nhanh lên xem nào"
"acc này của ai mà quen vậy","tài khoản này của ai mà quen vậy"
"nay có chuyện gì mà bùn thế","nay có chuyện gì mà buồn thế"
"stt này hay quá cho mình mượn nhé","trạng thái này hay quá cho mình mượn nhé"
"sđt của quán đó là gì vậy","số điện thoại của quán đó là gì vậy"
"mxh bây giờ nhiều thông tin thật","mạng xã hội bây giờ nhiều thông tin thật"
"e vừa xem xong bộ phim này","em vừa xem xong bộ phim này"
"ae cẩn thận trời mưa đường trơn","anh em cẩn thận trời mưa đường trơn"
"zui lên đi chuyện đâu còn có đó","vui lên đi chuyện đâu còn có đó"
"kb với mình để trao đổi thêm nhé","kết bạn với mình để trao đổi thêm nhé"
"off máy đi ngủ sớm cho khỏe","ngoại tuyến máy đi ngủ sớm cho khỏe"
"đtrai thế này chắc nhiều người theo","đẹp trai thế này chắc nhiều người theo"
"ntn thì giải quyết sao được","như thế nào thì giải quyết sao được"
"tcn của bạn trang trí đẹp quá","trang cá nhân của bạn trang trí đẹp quá"
"ig của cậu là gì để mình tìm","Instagram của cậu là gì để mình tìm"
"bít ngay là có chuyện mà","biết ngay là có chuyện mà"
"qtr là mình phải cố gắng hết sức","quan trọng là mình phải cố gắng hết sức"
"cno đang rủ nhau đi du lịch kìa","chúng nó đang rủ nhau đi du lịch kìa"
"ksao đâu cứ bình tĩnh mà làm","không sao đâu cứ bình tĩnh mà làm"
"vdu như mình làm cách này thì sao","ví dụ như mình làm cách này thì sao"
"khok xong rồi thì mạnh mẽ lên nhé","khóc xong rồi thì mạnh mẽ lên nhé"
"lmj mà vội vàng thế từ từ thôi","làm gì mà vội vàng thế từ từ thôi"
"bb nhà mình hôm nay trộm vía ngoan","em bé nhà mình hôm nay trộm vía ngoan"
"bcs mua ở cửa hàng tiện lợi có đó","bao cao su mua ở cửa hàng tiện lợi có đó"
"SK là vốn quý nhất của con người","sức khỏe là vốn quý nhất của con người"
"sk tối nay diễn ra ở đâu vậy","sự kiện tối nay diễn ra ở đâu vậy"
"BV dạo này đông bệnh nhân quá","bệnh viện dạo này đông bệnh nhân quá"
"cmsn cậu nhé tuổi mới rực rỡ","chúc mừng sinh nhật cậu nhé tuổi mới rực rỡ"
"cmnm cả nhà an khang thịnh vượng","chúc mừng năm mới cả nhà an khang thịnh vượng"
"klq nhưng áo cậu mua ở đâu đẹp thế","không liên quan nhưng áo cậu mua ở đâu đẹp thế"
"qtqd luôn cái bánh này ngon kinh khủng","quá trời quá đất luôn cái bánh này ngon kinh khủng"
"thks bạn đã chia sẻ bài viết này","cảm ơn bạn đã chia sẻ bài viết này"
"sry mình không cố ý làm vậy đâu","xin lỗi mình không cố ý làm vậy đâu"
"ce công ty mình rủ nhau đi ăn ốc","chị em công ty mình rủ nhau đi ăn ốc"
"ace trong nhà phải đùm bọc lẫn nhau","anh chị em trong nhà phải đùm bọc lẫn nhau"
"onl thì nhắn tin lại cho mình ngay nhé","trực tuyến thì nhắn tin lại cho mình ngay nhé"
"ms sáng ra mà đã kẹt xe rồi","mới sáng ra mà đã kẹt xe rồi"
"lói nhỏ thôi người ta nghe thấy bây giờ","nói nhỏ thôi người ta nghe thấy bây giờ"
"unf những người hay tiêu cực đi cho nhẹ đầu","hủy kết bạn những người hay tiêu cực đi cho nhẹ đầu"
"FB dạo này hay bị lỗi hiển thị ghê","Facebook dạo này hay bị lỗi hiển thị ghê"
"tt dạo này có trend gì mới không","Tiktok dạo này có trend gì mới không"
"nhắn tin qua xl cho tiện gửi file nhé","nhắn tin qua Zalo cho tiện gửi file nhé"
"mess hôm nay không gọi video được à","Messenger hôm nay không gọi video được à"
"fl kênh của mình để xem nhiều video hơn","theo dõi kênh của mình để xem nhiều video hơn"
"yt đợt này quảng cáo nhiều quá","YouTube đợt này quảng cáo nhiều quá"
"cmt dạo cũng là một niềm vui","bình luận dạo cũng là một niềm vui"
"b bùn ngủ thì cứ đi nghỉ trước đi","bạn buồn ngủ thì cứ đi nghỉ trước đi"
"thik ăn món gì tối nay mình nấu","thích ăn món gì tối nay mình nấu"
"đc nghỉ lễ mọi người dự định đi đâu","được nghỉ lễ mọi người dự định đi đâu"
"vs mình thì gia đình luôn là số một","với mình thì gia đình luôn là số một"
"uk mình đồng ý với ý kiến của bạn","ừ mình đồng ý với ý kiến của bạn"
"j cơ cậu nói lại lần nữa xem nào","gì cơ cậu nói lại lần nữa xem nào"
"trl nhanh lên mình đang đợi nè","trả lời nhanh lên mình đang đợi này"
"avt đôi nhìn lãng mạn quá đi mất","ảnh đại diện đôi nhìn lãng mạn quá đi mất"
"nnao cũng được miễn là cậu thấy vui","như nào cũng được miễn là cậu thấy vui"
"nnay thì ai mà không thích cơ chứ","như này thì ai mà không thích cơ chứ"
"đz thế này bảo sao nhiều người mê","đẹp trai thế này bảo sao nhiều người mê"
"iu thương bản thân mình nhiều hơn nhé","yêu thương bản thân mình nhiều hơn nhé"
"cr của cậu học lớp nào vậy","người mình thích của cậu học lớp nào vậy"
"z thì chốt phương án này luôn nhé","vậy thì chốt phương án này luôn nhé"
"đth của hãng này chụp ảnh đẹp lắm","điện thoại của hãng này chụp ảnh đẹp lắm"
"típ tục cố gắng nhé đừng nản chí","tiếp tục cố gắng nhé đừng nản chí"
"nx đi mình đang nghe cậu kể chuyện nè","nữa đi mình đang nghe cậu kể chuyện này"
"thui chuyện qua rồi đừng nhắc lại nữa","thôi chuyện qua rồi đừng nhắc lại nữa"
"đg tính đi siêu thị mua ít đồ ăn","đang tính đi siêu thị mua ít đồ ăn"
"cx muốn giúp lắm nhưng mình đang kẹt","cũng muốn giúp lắm nhưng mình đang kẹt"
"said lời chia tay mà lòng đau nhói","nói lời chia tay mà lòng đau nhói"
"dép lào hôm nay có tính năng gì mới kìa","Zalo hôm nay có tính năng gì mới kìa"
"bl văn minh lịch sự nhé các bạn","bình luận văn minh lịch sự nhé các bạn"
"wa nhà mình chơi đồ chơi mới không","quá nhà mình chơi đồ chơi mới không"
"khok một trận cho nhẹ lòng rồi thôi","khóc một trận cho nhẹ lòng rồi thôi"
"đrui cách làm này là hiệu quả nhất","đúng rồi cách làm này là hiệu quả nhất"
"vdu này dễ hiểu quá cảm ơn cô giáo","ví dụ này dễ hiểu quá cảm ơn cô giáo"
"ei đi mua trà sữa trân châu không","ê đi mua trà sữa trân châu không"
"hi cả nhà chúc mọi người buổi sáng vui vẻ","xin chào cả nhà chúc mọi người buổi sáng vui vẻ"
"pp nhé ngày mai gặp lại ở trường","tạm biệt nhé ngày mai gặp lại ở trường"
"nngon nhé mơ những giấc mơ đẹp","ngủ ngon nhé mơ những giấc mơ đẹp"
"ah trai mình đang học đại học năm cuối","anh trai mình đang học đại học năm cuối"
"ck mình rất tâm lý và chiều chuộng vợ","chồng mình rất tâm lý và chiều chuộng vợ"
"cre bức ảnh này là của nhiếp ảnh gia nào","nguồn bức ảnh này là của nhiếp ảnh gia nào"
"ctay không phải là hết mà là bắt đầu mới","chia tay không phải là hết mà là bắt đầu mới"
"đk vậy thì tốt quá rồi còn gì bằng","đúng không vậy thì tốt quá rồi còn gì bằng"
"e đag ở nhà đợi a qua đón nha","em đang ở nhà đợi anh qua đón nha"
"cj tớ mới xin đc việc ở công ty này","chị tớ mới xin được việc ở công ty này"
"tks cậu vì món quà sinh nhật hwa nhé","cảm ơn cậu vì món quà sinh nhật hôm qua nhé"
"mxh dạo này chán quá t tính xóa app","mạng xã hội dạo này chán quá tao tính xóa app"
"cđm cứ làm quá lên chứ bả cs lỗi đâu","cộng đồng mạng cứ làm quá lên chứ bạn ấy có lỗi đâu"
"gđ m có hay đi du lịch cùng nhau ko","gia đình mày có hay đi du lịch cùng nhau không"
"klq nhưng áo này mua ở đâu đẹp z","không liên quan nhưng áo này mua ở đâu đẹp vậy"
"nym của m làm nghề gì vậy","người yêu mới của mày làm nghề gì vậy"
"nyc t mới nhắn tin hỏi thăm sức khỏe","người yêu cũ tao mới nhắn tin hỏi thăm sức khỏe"
"đr tớ cũng nghĩ y chang cậu luôn á","đúng rồi tớ cũng nghĩ y chang cậu luôn á"
"cv của a dạo này thế nào rồi","công việc của anh dạo này thế nào rồi"
"mìn vừa ăn tối xong đang xem phim","mình vừa ăn tối xong đang xem phim"
"bthg cuối tuần t hay đi uống cf","bình thường cuối tuần tao hay đi uống cf"
"dth quá đi mất con mèo này ngoan ghê","dễ thương quá đi mất con mèo này ngoan ghê"
"sr m nhé hnay t có việc đột xuất","xin lỗi mày nhé hôm nay tao có việc đột xuất"
"bít ròi lói mãi nhức hết cả đầu","biết rồi nói mãi nhức hết cả đầu"
"qtr là hai đứa hiểu nhau thôi","quan trọng là hai đứa hiểu nhau thôi"
"cno đi chơi mà ko rủ mình buồn thật","chúng nó đi chơi mà không rủ mình buồn thật"
"ksao m cứ cố gắng hết sức là được","không sao mày cứ cố gắng hết sức là được"
"vdu m làm sai thì phải xin lỗi nha","ví dụ mày làm sai thì phải xin lỗi nha"
"khok bùn thì cứ khóc cho nhẹ lòng","khóc buồn thì cứ khóc cho nhẹ lòng"
"lmj mà giận dỗi nhau hoài mệt mỏi ghê","làm gì mà giận dỗi nhau hoài mệt mỏi ghê"
"bb nhà e nay biết đi rồi đấy cj","em bé nhà em nay biết đi rồi đấy chị"
"bcs hnay cửa hàng đó hết hàng rồi","bao cao su hôm nay cửa hàng đó hết hàng rồi"
"SK m dạo này kém lắm chịu khó ăn vô","sức khỏe mày dạo này kém lắm chịu khó ăn vô"
"sk sắp tới có mời idol đó ae","sự kiện sắp tới có mời idol đó anh em"
"BV nhi dạo này đông bệnh nhân quá trời","bệnh viện nhi dạo này đông bệnh nhân quá trời"
"cmsn mẹ yêu của con nhé","chúc mừng sinh nhật mẹ yêu của con nhé"
"cmnm mọi người năm mới phát tài nha","chúc mừng năm mới mọi người năm mới phát tài nha"
"qtqd luôn cái đầm này lộng lẫy ghê","quá trời quá đất luôn cái đầm này lộng lẫy ghê"
"thks bạn đã gửi tài liệu cho mình nha","cảm ơn bạn đã gửi tài liệu cho mình nha"
"sry vì làm phiền cậu giờ này nhé","xin lỗi vì làm phiền cậu giờ này nhé"
"ce tớ hẹn nhau đi làm móng tay","chị em tớ hẹn nhau đi làm móng tay"
"ace trong công ty nay đi liên hoan","anh chị em trong công ty nay đi liên hoan"
"onl thì check email t vừa gửi nha","trực tuyến thì check email tao vừa gửi nha"
"ms mua ly trà sữa mà đổ mất tiêu","mới mua ly trà sữa mà đổ mất tiêu"
"lói điêu ngta cười cho đấy nhé","nói điêu người ta cười cho đấy nhé"
"unf bả đi thấy bả đăng bài mệt ghê","hủy kết bạn bạn ấy đi thấy bạn ấy đăng bài mệt ghê"
"FB t nay tự nhiên bị văng ra","Facebook tao nay tự nhiên bị văng ra"
"tt nay toàn mấy trend nhảy múa hay ghê","Tiktok nay toàn mấy trend nhảy múa hay ghê"
"xl hnay gọi video nét phết nhờ","Zalo hôm nay gọi video nét phết nhờ"
"mess nay bị lag hay sao ko gửi tin được","Messenger nay bị lag hay sao không gửi tin được"
"fl page này để nhận mã giảm giá nè","theo dõi page này để nhận mã giảm giá này"
"yt nay gợi ý toàn nhạc gu t","YouTube nay gợi ý toàn nhạc gu tao"
"cmt khen ổng một tiếng cho ổng vui","bình luận khen ông ấy một tiếng cho ông ấy vui"
"b bùn ngủ thì đi ngủ sớm đi nha","bạn buồn ngủ thì đi ngủ sớm đi nha"
"thik mẫu nào m gửi hình t lấy cho","thích mẫu nào mày gửi hình tao lấy cho"
"đc điểm cao m nhớ khao t nha","được điểm cao mày nhớ khao tao nha"
"vs t thì bạn bè rất quan trọng","với tao thì bạn bè rất quan trọng"
"uk m cứ quyết định vậy đi","ừ mày cứ quyết định vậy đi"
"j vậy m đang ở đâu t qua đón","gì vậy mày đang ở đâu tao qua đón"
"trl t lẹ lẹ đi mng đang chờ","trả lời tao lẹ lẹ đi mọi người đang chờ"
"avt mới chụp ở quán cf nào đẹp rứa","ảnh đại diện mới chụp ở quán cf nào đẹp rứa"
"nnao cx đc t dễ tính lắm","như nào cũng được tao dễ tính lắm"
"nnay m đền tiền cho t nha","như này mày đền tiền cho tao nha"
"đz thế này đi thi nam vương đc á","đẹp trai thế này đi thi nam vương được á"
"iu cún con nhà bả ghê á","yêu cún con nhà bạn ấy ghê á"
"cr m có thư tỏ tình rồi kìa","người mình thích mày có thư tỏ tình rồi kìa"
"z đợt này t ko đi cùng ae đc r","vậy đợt này tao không đi cùng anh em được rồi"
"đth t dạo này hay sập nguồn qá","điện thoại tao dạo này hay sập nguồn quá"
"típ tục ủng hộ shop nha khách iu","tiếp tục ủng hộ shop nha khách yêu"
"nx đi cô giáo đang nghe e nói nè","nữa đi cô giáo đang nghe em nói này"
"thui đi m đừng trêu bả nữa bả khóc r","thôi đi mày đừng trêu bạn ấy nữa bạn ấy khóc rồi"
"đg nấu cơm chờ xíu t gọi lại nha","đang nấu cơm chờ xíu tao gọi lại nha"
"cx tại m đi trễ nên lỡ xe đó","cũng tại mày đi trễ nên lỡ xe đó"
"said câu đó tổn thương ngta lắm m","nói câu đó tổn thương người ta lắm mày"
"dép lào nhắn tin có thấy m seen đâu","Zalo nhắn tin có thấy mày seen đâu"
"bl như thế bị khóa acc ráng chịu nha","bình luận như thế bị khóa tài khoản ráng chịu nha"
"wa t mượn cuốn sách xíu nha","quá tao mượn cuốn sách xíu nha"
"khok cạn nước mắt vì bộ phim này luôn","khóc cạn nước mắt vì bộ phim này luôn"
"đrui m giải bài này chuẩn rồi đó","đúng rồi mày giải bài này chuẩn rồi đó"
"vdu bài này khó hiểu qá thầy ơi","ví dụ bài này khó hiểu quá thầy ơi"
"ei cnay ae mik đá bóng ko","ê chiều nay anh em mình đá bóng không"
"hi mng mìn là mem mới xin ra mắt","xin chào mọi người mình là thành viên mới xin ra mắt"
"pp nha mai t lại sang m chơi","tạm biệt nha mai tao lại sang mày chơi"
"nngon m nha t lướt fb xíu r ngủ","ngủ ngon mày nha tao lướt facebook xíu rồi ngủ"
"ah t làm công an đó oai chưa","anh tao làm công an đó oai chưa"
"ck nay đi làm về sớm nấu cơm cho vk","chồng nay đi làm về sớm nấu cơm cho vợ"
"cre m lấy nguồn từ báo nào á","nguồn mày lấy nguồn từ báo nào á"
"ctay là giải thoát cho cả hai m à","chia tay là giải thoát cho cả hai mày à"
"đk e ns z đúng ý m ko","đúng không em nói vậy đúng ý mày không"
"e đi siêu thị mua đồ xíu nha m","em đi siêu thị mua đồ xíu nha mày"
"fact m lười học chứ ko phải bài khó","sự thật mày lười học chứ không phải bài khó"
"fake đồ hiệu giờ nhìn tinh vi thật","giả mạo đồ hiệu giờ nhìn tinh vi thật"
"flop quá nên bả khóa luôn nick r","mất tương tác quá nên bạn ấy khóa luôn nick rồi"
"hh xem clip t cười đau cả bụng","haha xem clip tao cười đau cả bụng"
"kkk trêu m xíu làm gì mà căng","cười trêu mày xíu làm gì mà căng"
"ib giá áo này cho mìn với shop ơi","nhắn tin giá áo này cho mình với shop ơi"
"in4 bả m hỏi tk Hùng xem cs ko","thông tin bạn ấy mày hỏi thằng Hùng xem có không"
"k t ko ăn hành đâu t ghét hành","không tao không ăn hành đâu tao ghét hành"
"ko cs tiền thì ở nhà lướt tóp tóp","không có tiền thì ở nhà lướt tiktok"
"khum đi đc r hnay t về quê","không đi được rồi hôm nay tao về quê"
"no t đg kiêng đường ko uống trà sữa","không tao đang kiêng đường không uống trà sữa"
"kh ai thèm lấy đồ của m đâu","không ai thèm lấy đồ của mày đâu"
"kr của t thấy bài này hát ko hay","ý kiến riêng của tao thấy bài này hát không hay"
"m tính tối nay ăn gì t bao","mày tính tối nay ăn gì tao bao"
"t chỉ mún ở nhà ngủ một giấc","tao chỉ muốn ở nhà ngủ một giấc"
"cno kêu m nay ra sân sớm đó","chúng nó kêu mày nay ra sân sớm đó"
"mem mới zô nộp quỹ cho lớp nha","thành viên mới vô nộp quỹ cho lớp nha"
"mtr m nha hwa cho t mượn xe","mong trả mày nha hôm qua cho tao mượn xe"
"mxh hôm nay chán ghê không có gì xem","mạng xã hội hôm nay chán ghê không có gì xem"
"ngta đg bùn m đừng trêu nữa","người ta đang buồn mày đừng trêu nữa"
"bả vừa đi mua đồ vs mẹ rồi","bạn ấy vừa đi mua đồ với mẹ rồi"
"ổng mua cho t ly trà sữa dth xỉu","ông ấy mua cho tao ly trà sữa dễ thương xỉu"
"ní ơi có bài tập toán chx cho t mượn","bạn ơi có bài tập toán chưa cho tao mượn"
"otp của t hwa đi sự kiện chung kìa","ghép cặp của tao hôm qua đi sự kiện chung kìa"
"real nha t thấy 2 người đó nắm tay","thật nha tao thấy 2 người đó nắm tay"
"s m lại khok vì tk đó nữa z","sao mày lại khóc vì thằng đó nữa vậy"
"same t cũng ghét ăn hành lá","giống tao cũng ghét ăn hành lá"
"tk scam hwa bị cđm bóc phốt rồi","thằng lừa gạt hôm qua bị cộng đồng mạng bóc phốt rồi"
"slay qá đi t thích phong cách này","xuất sắc quá đi tao thích phong cách này"
"stt này t viết cho vui thôi đừng nghĩ nhiều","trạng thái này tao viết cho vui thôi đừng nghĩ nhiều"
"tag bả vào bài viết này lẹ lên m","gắn thẻ bạn ấy vào bài viết này lẹ lên mày"
"tcn của tk đó để chế độ riêng tư rồi","trang cá nhân của thằng đó để chế độ riêng tư rồi"
"thg Hưng nay nghỉ ốm ko đi học","thằng Hưng nay nghỉ ốm không đi học"
"toxic qá thì block cho nhẹ đầu ae ạ","tiêu cực quá thì block cho nhẹ đầu anh em ạ"
"tus này chắc chắn lên xh luôn tin t đi","bài viết này chắc chắn lên xu hướng luôn tin tao đi"
"up ảnh dìm bả lên fb cho ae xem","lên ảnh dìm bạn ấy lên fb cho anh em xem"
"vv nha t đi chơi vs gđ đây","vui vẻ nha tao đi chơi với gia đình đây"
"xh bữa nay toàn nhạc buồn ko à","xu hướng bữa nay toàn nhạc buồn không à"
"cđm bữa nay hóng chuyện lẹ ghê","cộng đồng mạng bữa nay hóng chuyện lẹ ghê"
"klq nhưng nay t thèm lẩu thái qá","không liên quan nhưng nay tao thèm lẩu thái quá"
"qtqd m ăn hết nguyên cái pizza luôn á","quá trời quá đất mày ăn hết nguyên cái pizza luôn á"
"nyc nhắn tin hỏi thăm sức khỏe t m ạ","người yêu cũ nhắn tin hỏi thăm sức khỏe tao mày ạ"
"nym của ổng t thấy cũng xinh xắn mà","người yêu mới của ông ấy tao thấy cũng xinh xắn mà"
